"標準地域コード","都道府県","政令市･郡･支庁･振興局等","政令市･郡･支庁･振興局等（ふりがな）","市区町村","市区町村（ふりがな）","廃置分合等施行年月日","廃置分合等情報有無"
"07564","福島県","相馬郡","そうまぐん","飯舘村","いいたてむら","",""
"08201","茨城県","","","水戸市","みとし","2005-02-01","有"
"08202","茨城県","","","日立市","ひたちし","2004-11-01","有"
"08203","茨城県","","","土浦市","つちうらし","2006-02-20","有"
"08204","茨城県","","","古河市","こがし","2005-09-12","有"
"08205","茨城県","","","石岡市","いしおかし","2005-10-01","有"
"08207","茨城県","","","結城市","ゆうきし","1998-07-01","有"
"08208","茨城県","","","龍ケ崎市","りゅうがさきし","2006-12-20","有"
"08210","茨城県","","","下妻市","しもつまし","2006-01-01","有"
"08211","茨城県","","","常総市","じょうそうし","2006-01-01","有"
"08212","茨城県","","","常陸太田市","ひたちおおたし","2004-12-01","有"
"08214","茨城県","","","高萩市","たかはぎし","1998-10-01","有"
"08215","茨城県","","","北茨城市","きたいばらきし","1998-10-01","有"
"08216","茨城県","","","笠間市","かさまし","2006-03-19","有"
"08217","茨城県","","","取手市","とりでし","2005-03-28","有"
"08219","茨城県","","","牛久市","うしくし","2006-12-20","有"
"08220","茨城県","","","つくば市","つくばし","2007-04-01","有"
"08221","茨城県","","","ひたちなか市","ひたちなかし","1997-03-27","有"
"08222","茨城県","","","鹿嶋市","かしまし","1995-09-01","有"
"08223","茨城県","","","潮来市","いたこし","2001-04-01","有"
"08224","茨城県","","","守谷市","もりやし","2002-02-02","有"
"08225","茨城県","","","常陸大宮市","ひたちおおみやし","2004-10-16","有"
"08226","茨城県","","","那珂市","なかし","2005-01-21","有"
"08227","茨城県","","","筑西市","ちくせいし","2005-03-28","有"
"08228","茨城県","","","坂東市","ばんどうし","2005-03-22","有"
"08229","茨城県","","","稲敷市","いなしきし","2006-12-20","有"
"08230","茨城県","","","かすみがうら市","かすみがうらし","2005-03-28","有"
"08231","茨城県","","","桜川市","さくらがわし","2005-10-01","有"
"08232","茨城県","","","神栖市","かみすし","2005-08-01","有"
"08233","茨城県","","","行方市","なめがたし","2005-09-02","有"
"08234","茨城県","","","鉾田市","ほこたし","2005-10-11","有"
"08235","茨城県","","","つくばみらい市","つくばみらいし","2006-03-27","有"
"08236","茨城県","","","小美玉市","おみたまし","2006-03-27","有"
"08300","茨城県","東茨城郡","ひがしいばらきぐん","","","",""
"08302","茨城県","東茨城郡","ひがしいばらきぐん","茨城町","いばらきまち","1990-06-01","有"
"08309","茨城県","東茨城郡","ひがしいばらきぐん","大洗町","おおあらいまち","1984-05-01","有"
"08310","茨城県","東茨城郡","ひがしいばらきぐん","城里町","しろさとまち","2005-02-01","有"
"08340","茨城県","那珂郡","なかぐん","","","",""
"08341","茨城県","那珂郡","なかぐん","東海村","とうかいむら","1997-03-27","有"
"08360","茨城県","久慈郡","くじぐん","","","",""
"08364","茨城県","久慈郡","くじぐん","大子町","だいごまち","",""
"08440","茨城県","稲敷郡","いなしきぐん","","","",""
"08442","茨城県","稲敷郡","いなしきぐん","美浦村","みほむら","1989-03-01","有"
"08443","茨城県","稲敷郡","いなしきぐん","阿見町","あみまち","1989-03-01","有"
"08447","茨城県","稲敷郡","いなしきぐん","河内町","かわちまち","1996-06-01","有"
"08520","茨城県","結城郡","ゆうきぐん","","","",""
"08521","茨城県","結城郡","ゆうきぐん","八千代町","やちよまち","1999-02-01","有"
"08540","茨城県","猿島郡","さしまぐん","","","",""
"08542","茨城県","猿島郡","さしまぐん","五霞町","ごかまち","1996-06-01","有"
"08546","茨城県","猿島郡","さしまぐん","境町","さかいまち","1995-01-01","有"
"08560","茨城県","北相馬郡","きたそうまぐん","","","",""
"08564","茨城県","北相馬郡","きたそうまぐん","利根町","とねまち","1990-03-01","有"
"09201","栃木県","","","宇都宮市","うつのみやし","2007-03-31","有"
"09202","栃木県","","","足利市","あしかがし","1988-06-01","有"
"09203","栃木県","","","栃木市","とちぎし","2005-02-01","有"
"09204","栃木県","","","佐野市","さのし","2005-02-28","有"
"09205","栃木県","","","鹿沼市","かぬまし","2006-01-01","有"
"09206","栃木県","","","日光市","にっこうし","2006-03-20","有"
"09208","栃木県","","","小山市","おやまし","2004-02-01","有"
"09209","栃木県","","","真岡市","もおかし","2002-01-01","有"
"09210","栃木県","","","大田原市","おおたわらし","2006-08-01","有"
"09211","栃木県","","","矢板市","やいたし","2001-01-01","有"
"09213","栃木県","","","那須塩原市","なすしおばらし","2005-01-01","有"
"09214","栃木県","","","さくら市","さくらし","2005-03-28","有"
"09215","栃木県","","","那須烏山市","なすからすやまし","2005-10-01","有"
"09216","栃木県","","","下野市","しもつけし","2006-01-10","有"
"09300","栃木県","河内郡","かわちぐん","","","",""
"09301","栃木県","河内郡","かわちぐん","上三川町","かみのかわまち","2003-07-01","有"
"09320","栃木県","上都賀郡","かみつがぐん","","","","有"
"09321","栃木県","上都賀郡","かみつがぐん","西方町","にしかたまち","1998-12-01","有"
"09340","栃木県","芳賀郡","はがぐん","","","",""
"09341","栃木県","芳賀郡","はがぐん","二宮町","にのみやまち","2005-02-01","有"
"09342","栃木県","芳賀郡","はがぐん","益子町","ましこまち","2007-02-01","有"
"09343","栃木県","芳賀郡","はがぐん","茂木町","もてぎまち","2003-01-02","有"
"09344","栃木県","芳賀郡","はがぐん","市貝町","いちかいまち","2007-02-01","有"
"09345","栃木県","芳賀郡","はがぐん","芳賀町","はがまち","2005-02-01","有"
"09360","栃木県","下都賀郡","しもつがぐん","","","",""
"09361","栃木県","下都賀郡","しもつがぐん","壬生町","みぶまち","1984-06-01","有"
"09364","栃木県","下都賀郡","しもつがぐん","野木町","のぎまち","2004-02-01","有"
"09365","栃木県","下都賀郡","しもつがぐん","大平町","おおひらまち","2004-07-01","有"
"09366","栃木県","下都賀郡","しもつがぐん","藤岡町","ふじおかまち","1990-06-01","有"
"09367","栃木県","下都賀郡","しもつがぐん","岩舟町","いわふねまち","1994-12-01","有"
"09368","栃木県","下都賀郡","しもつがぐん","都賀町","つがまち","2005-02-01","有"
"09380","栃木県","塩谷郡","しおやぐん","","","",""
"09384","栃木県","塩谷郡","しおやぐん","塩谷町","しおやまち","1994-07-01","有"
"09386","栃木県","塩谷郡","しおやぐん","高根沢町","たかねざわまち","1993-12-01","有"
"09400","栃木県","那須郡","なすぐん","","","",""
"09407","栃木県","那須郡","なすぐん","那須町","なすまち","1982-06-01","有"
"09411","栃木県","那須郡","なすぐん","那珂川町","なかがわまち","2006-08-01","有"
"10201","群馬県","","","前橋市","まえばしし","2004-12-05","有"
"10202","群馬県","","","高崎市","たかさきし","2006-10-01","有"
"10203","群馬県","","","桐生市","きりゅうし","2005-06-13","有"
"10204","群馬県","","","伊勢崎市","いせさきし","2007-04-01","有"
"10205","群馬県","","","太田市","おおたし","2007-04-01","有"
"10206","群馬県","","","沼田市","ぬまたし","2006-12-01","有"
"10207","群馬県","","","館林市","たてばやしし","1982-06-01","有"
"10208","群馬県","","","渋川市","しぶかわし","2006-02-20","有"
"10209","群馬県","","","藤岡市","ふじおかし","2006-01-01","有"
"10210","群馬県","","","富岡市","とみおかし","2006-03-27","有"
"10211","群馬県","","","安中市","あんなかし","2006-03-18","有"
"10212","群馬県","","","みどり市","みどりし","2006-03-27","有"
"10300","群馬県","勢多郡","せたぐん","","","","有"
"10303","群馬県","勢多郡","せたぐん","富士見村","ふじみむら","1998-11-01","有"
"10340","群馬県","北群馬郡","きたぐんまぐん","","","",""
"10344","群馬県","北群馬郡","きたぐんまぐん","榛東村","しんとうむら","1995-07-01","有"
"10345","群馬県","北群馬郡","きたぐんまぐん","吉岡町","よしおかまち","2003-07-01","有"
"10360","群馬県","多野郡","たのぐん","","","",""
"10363","群馬県","多野郡","たのぐん","吉井町","よしいまち","1984-09-01","有"
"10366","群馬県","多野郡","たのぐん","上野村","うえのむら","",""
"10367","群馬県","多野郡","たのぐん","神流町","かんなまち","2003-04-01","有"
"10380","群馬県","甘楽郡","かんらぐん","","","",""
"10382","群馬県","甘楽郡","かんらぐん","下仁田町","しもにたまち","",""
"10383","群馬県","甘楽郡","かんらぐん","南牧村","なんもくむら","",""
"10384","群馬県","甘楽郡","かんらぐん","甘楽町","かんらまち","1984-09-01","有"
"10420","群馬県","吾妻郡","あがつまぐん","","","",""
"10421","群馬県","吾妻郡","あがつまぐん","中之条町","なかのじょうまち","1980-04-01","有"
"10424","群馬県","吾妻郡","あがつまぐん","長野原町","ながのはらまち","",""
"10425","群馬県","吾妻郡","あがつまぐん","嬬恋村","つまごいむら","",""
"10426","群馬県","吾妻郡","あがつまぐん","草津町","くさつまち","",""
"10427","群馬県","吾妻郡","あがつまぐん","六合村","くにむら","","有"
"10428","群馬県","吾妻郡","あがつまぐん","高山村","たかやまむら","",""
"10429","群馬県","吾妻郡","あがつまぐん","東吾妻町","ひがしあがつままち","2006-03-27","有"
"10440","群馬県","利根郡","とねぐん","","","",""
"10443","群馬県","利根郡","とねぐん","片品村","かたしなむら","",""
"10444","群馬県","利根郡","とねぐん","川場村","かわばむら","1996-11-01","有"
"10448","群馬県","利根郡","とねぐん","昭和村","しょうわむら","2004-04-01","有"
"10449","群馬県","利根郡","とねぐん","みなかみ町","みなかみまち","2006-12-01","有"
"10460","群馬県","佐波郡","さわぐん","","","",""
"10464","群馬県","佐波郡","さわぐん","玉村町","たまむらまち","1985-09-01","有"
"10520","群馬県","邑楽郡","おうらぐん","","","",""
"10521","群馬県","邑楽郡","おうらぐん","板倉町","いたくらまち","1977-09-01","有"
"10522","群馬県","邑楽郡","おうらぐん","明和町","めいわまち","1998-10-01","有"
"10523","群馬県","邑楽郡","おうらぐん","千代田町","ちよだまち","1982-04-01","有"
"10524","群馬県","邑楽郡","おうらぐん","大泉町","おおいずみまち","1988-10-01","有"
"10525","群馬県","邑楽郡","おうらぐん","邑楽町","おうらまち","1987-09-01","有"
"11100","埼玉県","さいたま市","さいたまし","","","2005-04-01","有"
"11101","埼玉県","さいたま市","さいたまし","西区","にしく","2003-04-01","有"
"11102","埼玉県","さいたま市","さいたまし","北区","きたく","2003-04-01","有"
"11103","埼玉県","さいたま市","さいたまし","大宮区","おおみやく","2003-04-01","有"
"11104","埼玉県","さいたま市","さいたまし","見沼区","みぬまく","2003-04-01","有"
"11105","埼玉県","さいたま市","さいたまし","中央区","ちゅうおうく","2003-04-01","有"
"11106","埼玉県","さいたま市","さいたまし","桜区","さくらく","2003-04-01","有"
"11107","埼玉県","さいたま市","さいたまし","浦和区","うらわく","2003-04-01","有"
"11108","埼玉県","さいたま市","さいたまし","南区","みなみく","2003-04-01","有"
"11109","埼玉県","さいたま市","さいたまし","緑区","みどりく","2003-04-01","有"
"11110","埼玉県","さいたま市","さいたまし","岩槻区","いわつきく","2005-04-01","有"
"11201","埼玉県","","","川越市","かわごえし","2003-04-01","有"
"11202","埼玉県","","","熊谷市","くまがやし","2007-02-13","有"
"11203","埼玉県","","","川口市","かわぐちし","2001-04-01","有"
"11206","埼玉県","","","行田市","ぎょうだし","2006-01-01","有"
"11207","埼玉県","","","秩父市","ちちぶし","2005-04-01","有"
"11208","埼玉県","","","所沢市","ところざわし","2002-04-01","有"
"11209","埼玉県","","","飯能市","はんのうし","2005-01-01","有"
"11210","埼玉県","","","加須市","かぞし","1999-06-01","有"
"11211","埼玉県","","","本庄市","ほんじょうし","2006-01-10","有"
"11212","埼玉県","","","東松山市","ひがしまつやまし","1993-12-01","有"
"11214","埼玉県","","","春日部市","かすかべし","2005-10-01","有"
"11215","埼玉県","","","狭山市","さやまし","1994-03-01","有"
"11216","埼玉県","","","羽生市","はにゅうし","1999-06-01","有"
"11217","埼玉県","","","鴻巣市","こうのすし","2005-10-01","有"
"11218","埼玉県","","","深谷市","ふかやし","2006-01-01","有"
"11219","埼玉県","","","上尾市","あげおし","1997-04-01","有"
"11221","埼玉県","","","草加市","そうかし","2004-04-01","有"
"11222","埼玉県","","","越谷市","こしがやし","2003-04-01","有"
"11223","埼玉県","","","蕨市","わらびし","",""
"11224","埼玉県","","","戸田市","とだし","",""
"11225","埼玉県","","","入間市","いるまし","1983-04-01","有"
"11226","埼玉県","","","鳩ケ谷市","はとがやし","1971-04-01","有"
"11227","埼玉県","","","朝霞市","あさかし","1990-08-01","有"
"11228","埼玉県","","","志木市","しきし","1990-08-01","有"
"11229","埼玉県","","","和光市","わこうし","1970-10-31","有"
"11230","埼玉県","","","新座市","にいざし","1970-11-01","有"
"11231","埼玉県","","","桶川市","おけがわし","1989-05-01","有"
"11232","埼玉県","","","久喜市","くきし","1992-08-01","有"
"11233","埼玉県","","","北本市","きたもとし","1971-11-03","有"
"11234","埼玉県","","","八潮市","やしおし","1979-04-01","有"
"11235","埼玉県","","","富士見市","ふじみし","1974-06-01","有"
"11237","埼玉県","","","三郷市","みさとし","1972-05-03","有"
"11238","埼玉県","","","蓮田市","はすだし","1972-10-01","有"
"11239","埼玉県","","","坂戸市","さかどし","2001-09-01","有"
"11240","埼玉県","","","幸手市","さってし","1997-12-01","有"
"11241","埼玉県","","","鶴ヶ島市","つるがしまし","1991-09-01","有"
"11242","埼玉県","","","日高市","ひだかし","1991-10-01","有"
"11243","埼玉県","","","吉川市","よしかわし","1997-11-01","有"
"11245","埼玉県","","","ふじみ野市","ふじみのし","2005-10-01","有"
"11300","埼玉県","北足立郡","きたあだちぐん","","","",""
"11301","埼玉県","北足立郡","きたあだちぐん","伊奈町","いなまち","1977-12-20","有"
"11320","埼玉県","入間郡","いるまぐん","","","",""
"11324","埼玉県","入間郡","いるまぐん","三芳町","みよしまち","1970-11-03","有"
"11326","埼玉県","入間郡","いるまぐん","毛呂山町","もろやままち","",""
"11327","埼玉県","入間郡","いるまぐん","越生町","おごせまち","",""
"11340","埼玉県","比企郡","ひきぐん","","","",""
"11341","埼玉県","比企郡","ひきぐん","滑川町","なめがわまち","1985-01-01","有"
"11342","埼玉県","比企郡","ひきぐん","嵐山町","らんざんまち","2000-10-01","有"
"11343","埼玉県","比企郡","ひきぐん","小川町","おがわまち","2000-10-01","有"
"11346","埼玉県","比企郡","ひきぐん","川島町","かわじままち","1988-02-01","有"
"11347","埼玉県","比企郡","ひきぐん","吉見町","よしみまち","1985-06-01","有"
"11348","埼玉県","比企郡","ひきぐん","鳩山町","はとやままち","2001-09-01","有"
"11349","埼玉県","比企郡","ひきぐん","ときがわ町","ときがわまち","2006-02-01","有"
"11360","埼玉県","秩父郡","ちちぶぐん","","","",""
"11361","埼玉県","秩父郡","ちちぶぐん","横瀬町","よこぜまち","1984-10-01","有"
"11362","埼玉県","秩父郡","ちちぶぐん","皆野町","みなのまち","",""
"11363","埼玉県","秩父郡","ちちぶぐん","長瀞町","ながとろまち","1972-11-01","有"
"11365","埼玉県","秩父郡","ちちぶぐん","小鹿野町","おがのまち","2005-10-01","有"
"11369","埼玉県","秩父郡","ちちぶぐん","東秩父村","ひがしちちぶむら","",""
"11380","埼玉県","児玉郡","こだまぐん","","","",""
"11381","埼玉県","児玉郡","こだまぐん","美里町","みさとまち","1989-03-01","有"
"11383","埼玉県","児玉郡","こだまぐん","神川町","かみかわまち","2006-01-01","有"
"11385","埼玉県","児玉郡","こだまぐん","上里町","かみさとまち","1994-11-01","有"
"11400","埼玉県","大里郡","おおさとぐん","","","",""
"11408","埼玉県","大里郡","おおさとぐん","寄居町","よりいまち","2000-10-01","有"
"11420","埼玉県","北埼玉郡","きたさいたまぐん","","","","有"
"11421","埼玉県","北埼玉郡","きたさいたまぐん","騎西町","きさいまち","1978-09-01","有"
"11424","埼玉県","北埼玉郡","きたさいたまぐん","北川辺町","きたかわべまち","1971-04-01","有"
"11425","埼玉県","北埼玉郡","きたさいたまぐん","大利根町","おおとねまち","1984-11-01","有"
"11440","埼玉県","南埼玉郡","みなみさいたまぐん","","","",""
"11442","埼玉県","南埼玉郡","みなみさいたまぐん","宮代町","みやしろまち","1999-09-01","有"
"11445","埼玉県","南埼玉郡","みなみさいたまぐん","白岡町","しらおかまち","1999-09-01","有"
"11446","埼玉県","南埼玉郡","みなみさいたまぐん","菖蒲町","しょうぶまち","1999-04-01","有"
"11460","埼玉県","北葛飾郡","きたかつしかぐん","","","",""
"11461","埼玉県","北葛飾郡","きたかつしかぐん","栗橋町","くりはしまち","1975-06-01","有"
"11462","埼玉県","北葛飾郡","きたかつしかぐん","鷲宮町","わしみやまち","","有"
"11464","埼玉県","北葛飾郡","きたかつしかぐん","杉戸町","すぎとまち","1997-12-01","有"
"11465","埼玉県","北葛飾郡","きたかつしかぐん","松伏町","まつぶしまち","1997-11-01","有"
"12100","千葉県","千葉市","ちばし","","","2006-12-01","有"
"12101","千葉県","千葉市","ちばし","中央区","ちゅうおうく","1992-04-01","有"
"12102","千葉県","千葉市","ちばし","花見川区","はなみがわく","1992-04-01","有"
"12103","千葉県","千葉市","ちばし","稲毛区","いなげく","1992-04-01","有"
"12104","千葉県","千葉市","ちばし","若葉区","わかばく","1992-04-01","有"
"12105","千葉県","千葉市","ちばし","緑区","みどりく","1992-04-01","有"
"12106","千葉県","千葉市","ちばし","美浜区","みはまく","1992-04-01","有"
"12202","千葉県","","","銚子市","ちょうしし","2004-06-01","有"
"12203","千葉県","","","市川市","いちかわし","",""
"12204","千葉県","","","船橋市","ふなばしし","2003-04-01","有"
"12205","千葉県","","","館山市","たてやまし","1975-07-01","有"
"12206","千葉県","","","木更津市","きさらづし","2003-10-01","有"
"12207","千葉県","","","松戸市","まつどし","1999-10-01","有"
"12208","千葉県","","","野田市","のだし","2003-06-06","有"
"12210","千葉県","","","茂原市","もばらし","1995-03-01","有"
"12211","千葉県","","","成田市","なりたし","2006-03-27","有"
"12212","千葉県","","","佐倉市","さくらし","1999-10-01","有"
"12213","千葉県","","","東金市","とうがねし","1993-10-01","有"
"12215","千葉県","","","旭市","あさひし","2005-07-01","有"
"12216","千葉県","","","習志野市","ならしのし","1981-05-01","有"
"12217","千葉県","","","柏市","かしわし","2005-03-28","有"
"12218","千葉県","","","勝浦市","かつうらし","2003-01-01","有"
"12219","千葉県","","","市原市","いちはらし","1995-10-01","有"
"12220","千葉県","","","流山市","ながれやまし","1990-12-01","有"
"12221","千葉県","","","八千代市","やちよし","2001-06-01","有"
"12222","千葉県","","","我孫子市","あびこし","1996-04-01","有"
"12223","千葉県","","","鴨川市","かもがわし","2005-02-11","有"
"12224","千葉県","","","鎌ケ谷市","かまがやし","1971-09-01","有"
"12225","千葉県","","","君津市","きみつし","2003-10-01","有"
"12226","千葉県","","","富津市","ふっつし","1971-09-01","有"
"12227","千葉県","","","浦安市","うらやすし","1981-04-01","有"
"12228","千葉県","","","四街道市","よつかいどうし","2006-12-01","有"
"12229","千葉県","","","袖ケ浦市","そでがうらし","2003-03-25","有"
"12230","千葉県","","","八街市","やちまたし","1992-04-01","有"
"12231","千葉県","","","印西市","いんざいし","2001-06-01","有"
"12232","千葉県","","","白井市","しろいし","2002-01-01","有"
"12233","千葉県","","","富里市","とみさとし","2004-01-01","有"
"12234","千葉県","","","南房総市","みなみぼうそうし","2006-03-20","有"
"12235","千葉県","","","匝瑳市","そうさし","2006-01-23","有"
"12236","千葉県","","","香取市","かとりし","2006-03-27","有"
"12237","千葉県","","","山武市","さんむし","2006-03-27","有"
"12238","千葉県","","","いすみ市","いすみし","2005-12-05","有"
"12320","千葉県","印旛郡","いんばぐん","","","",""
"12322","千葉県","印旛郡","いんばぐん","酒々井町","しすいまち","1977-09-01","有"
"12325","千葉県","印旛郡","いんばぐん","印旛村","いんばむら","1983-08-01","有"
"12328","千葉県","印旛郡","いんばぐん","本埜村","もとのむら","1983-08-01","有"
"12329","千葉県","印旛郡","いんばぐん","栄町","さかえまち","1977-09-01","有"
"12340","千葉県","香取郡","かとりぐん","","","",""
"12342","千葉県","香取郡","かとりぐん","神崎町","こうざきまち","1996-01-01","有"
"12347","千葉県","香取郡","かとりぐん","多古町","たこまち","2005-09-01","有"
"12349","千葉県","香取郡","かとりぐん","東庄町","とうのしょうまち","2002-04-01","有"
"12400","千葉県","山武郡","さんぶぐん","","","",""
"12402","千葉県","山武郡","さんぶぐん","大網白里町","おおあみしらさとまち","1993-10-01","有"
"12403","千葉県","山武郡","さんぶぐん","九十九里町","くじゅうくりまち","1987-08-01","有"
"12409","千葉県","山武郡","さんぶぐん","芝山町","しばやままち","2005-07-01","有"
"12410","千葉県","山武郡","さんぶぐん","横芝光町","よこしばひかりまち","2006-03-27","有"
"12420","千葉県","長生郡","ちょうせいぐん","","","",""
"12421","千葉県","長生郡","ちょうせいぐん","一宮町","いちのみやまち","1989-03-01","有"
"12422","千葉県","長生郡","ちょうせいぐん","睦沢町","むつざわまち","1995-03-01","有"
"12423","千葉県","長生郡","ちょうせいぐん","長生村","ちょうせいむら","1977-02-01","有"
"12424","千葉県","長生郡","ちょうせいぐん","白子町","しらこまち","1981-02-01","有"
"12426","千葉県","長生郡","ちょうせいぐん","長柄町","ながらまち","",""
"12427","千葉県","長生郡","ちょうせいぐん","長南町","ちょうなんまち","1978-02-01","有"
"12440","千葉県","夷隅郡","いすみぐん","","","",""
"12441","千葉県","夷隅郡","いすみぐん","大多喜町","おおたきまち","2003-01-01","有"
"12443","千葉県","夷隅郡","いすみぐん","御宿町","おんじゅくまち","1979-12-01","有"
"12460","千葉県","安房郡","あわぐん","","","",""
"12463","千葉県","安房郡","あわぐん","鋸南町","きょなんまち","",""
"13100","東京都","","","特別区部","とくべつくぶ","",""
"13101","東京都","","","千代田区","ちよだく","1983-08-18","有"
"13102","東京都","","","中央区","ちゅうおうく","",""
"13103","東京都","","","港区","みなとく","1982-11-05","有"
"13104","東京都","","","新宿区","しんじゅくく","1983-08-18","有"
"13105","東京都","","","文京区","ぶんきょうく","",""
"13106","東京都","","","台東区","たいとうく","",""
"13107","東京都","","","墨田区","すみだく","",""
"13108","東京都","","","江東区","こうとうく","1982-11-05","有"
"13109","東京都","","","品川区","しながわく","1982-11-05","有"
"13110","東京都","","","目黒区","めぐろく","",""
"13111","東京都","","","大田区","おおたく","1979-04-25","有"
"13112","東京都","","","世田谷区","せたがやく","",""
"13113","東京都","","","渋谷区","しぶやく","",""
"13114","東京都","","","中野区","なかのく","",""
"13115","東京都","","","杉並区","すぎなみく","",""
"13116","東京都","","","豊島区","としまく","",""
"13117","東京都","","","北区","きたく","1971-01-01","有"
"13118","東京都","","","荒川区","あらかわく","",""
"13119","東京都","","","板橋区","いたばしく","1971-01-01","有"
"13120","東京都","","","練馬区","ねりまく","",""
"13121","東京都","","","足立区","あだちく","",""
"13122","東京都","","","葛飾区","かつしかく","",""
"13123","東京都","","","江戸川区","えどがわく","",""
"13201","東京都","","","八王子市","はちおうじし","2004-04-01","有"
"13202","東京都","","","立川市","たちかわし","1973-04-01","有"
"13203","東京都","","","武蔵野市","むさしのし","",""
"13204","東京都","","","三鷹市","みたかし","",""
"13205","東京都","","","青梅市","おうめし","",""
"13206","東京都","","","府中市","ふちゅうし","",""
"13207","東京都","","","昭島市","あきしまし","","有"
"13208","東京都","","","調布市","ちょうふし","",""
"13209","東京都","","","町田市","まちだし","2004-12-01","有"
"13210","東京都","","","小金井市","こがねいし","",""
"13211","東京都","","","小平市","こだいらし","1973-03-01","有"
"13212","東京都","","","日野市","ひのし","",""
"13213","東京都","","","東村山市","ひがしむらやまし","1985-02-08","有"
"13214","東京都","","","国分寺市","こくぶんじし","",""
"13215","東京都","","","国立市","くにたちし","",""
"13218","東京都","","","福生市","ふっさし","1989-05-20","有"
"13219","東京都","","","狛江市","こまえし","1970-10-01","有"
"13220","東京都","","","東大和市","ひがしやまとし","1970-10-01","有"
"13221","東京都","","","清瀬市","きよせし","1970-10-01","有"
"13222","東京都","","","東久留米市","ひがしくるめし","1985-02-08","有"
"13223","東京都","","","武蔵村山市","むさしむらやまし","1970-11-03","有"
"13224","東京都","","","多摩市","たまし","2002-01-01","有"
"13225","東京都","","","稲城市","いなぎし","1971-11-01","有"
"13227","東京都","","","羽村市","はむらし","1991-11-01","有"
"13228","東京都","","","あきる野市","あきるのし","1995-09-01","有"
"13229","東京都","","","西東京市","にしとうきょうし","2001-01-21","有"
"13300","東京都","西多摩郡","にしたまぐん","","","",""
"13303","東京都","西多摩郡","にしたまぐん","瑞穂町","みずほまち","",""
"13305","東京都","西多摩郡","にしたまぐん","日の出町","ひのでまち","1974-06-01","有"
"13307","東京都","西多摩郡","にしたまぐん","檜原村","ひのはらむら","",""
"13308","東京都","西多摩郡","にしたまぐん","奥多摩町","おくたままち","",""
"13360","東京都","大島支庁","おおしましちょう","","","",""
"13361","東京都","大島支庁","おおしましちょう","大島町","おおしままち","",""
"13362","東京都","大島支庁","おおしましちょう","利島村","としまむら","",""
"13363","東京都","大島支庁","おおしましちょう","新島村","にいじまむら","1992-04-01","有"
"13364","東京都","大島支庁","おおしましちょう","神津島村","こうづしまむら","",""
"13380","東京都","三宅支庁","みやけしちょう","","","",""
"13381","東京都","三宅支庁","みやけしちょう","三宅村","みやけむら","",""
"13382","東京都","三宅支庁","みやけしちょう","御蔵島村","みくらじまむら","",""
"13400","東京都","八丈支庁","はちじょうしちょう","","","",""
"13401","東京都","八丈支庁","はちじょうしちょう","八丈町","はちじょうまち","",""
"13402","東京都","八丈支庁","はちじょうしちょう","青ヶ島村","あおがしまむら","",""
"13420","東京都","小笠原支庁","おがさわらしちょう","","","",""
"13421","東京都","小笠原支庁","おがさわらしちょう","小笠原村","おがさわらむら","",""
"14100","神奈川県","横浜市","よこはまし","","","1988-06-01","有"
"14101","神奈川県","横浜市","よこはまし","鶴見区","つるみく","",""
"14102","神奈川県","横浜市","よこはまし","神奈川区","かながわく","",""
"14103","神奈川県","横浜市","よこはまし","西区","にしく","",""
"14104","神奈川県","横浜市","よこはまし","中区","なかく","",""
"14105","神奈川県","横浜市","よこはまし","南区","みなみく","",""
"14106","神奈川県","横浜市","よこはまし","保土ケ谷区","ほどがやく","",""
"14107","神奈川県","横浜市","よこはまし","磯子区","いそごく","",""
"14108","神奈川県","横浜市","よこはまし","金沢区","かなざわく","",""
"14109","神奈川県","横浜市","よこはまし","港北区","こうほくく","1994-11-06","有"
"14110","神奈川県","横浜市","よこはまし","戸塚区","とつかく","1986-11-03","有"
"14111","神奈川県","横浜市","よこはまし","港南区","こうなんく","",""
"14112","神奈川県","横浜市","よこはまし","旭区","あさひく","",""
"14113","神奈川県","横浜市","よこはまし","緑区","みどりく","1994-11-06","有"
"14114","神奈川県","横浜市","よこはまし","瀬谷区","せやく","",""
"14115","神奈川県","横浜市","よこはまし","栄区","さかえく","1986-11-03","有"
"14116","神奈川県","横浜市","よこはまし","泉区","いずみく","1986-11-03","有"
"14117","神奈川県","横浜市","よこはまし","青葉区","あおばく","1994-11-06","有"
"14118","神奈川県","横浜市","よこはまし","都筑区","つづきく","1994-11-06","有"
"14130","神奈川県","川崎市","かわさきし","","","1975-02-15","有"
"14131","神奈川県","川崎市","かわさきし","川崎区","かわさきく","1972-04-01","有"
"14132","神奈川県","川崎市","かわさきし","幸区","さいわいく","1972-04-01","有"
"14133","神奈川県","川崎市","かわさきし","中原区","なかはらく","1972-04-01","有"
"14134","神奈川県","川崎市","かわさきし","高津区","たかつく","1982-07-01","有"
"14135","神奈川県","川崎市","かわさきし","多摩区","たまく","1982-07-01","有"
"14136","神奈川県","川崎市","かわさきし","宮前区","みやまえく","1982-07-01","有"
"14137","神奈川県","川崎市","かわさきし","麻生区","あさおく","1982-07-01","有"
"14201","神奈川県","","","横須賀市","よこすかし","2001-04-01","有"
"14203","神奈川県","","","平塚市","ひらつかし","2001-04-01","有"
"14204","神奈川県","","","鎌倉市","かまくらし","1972-05-01","有"
"14205","神奈川県","","","藤沢市","ふじさわし","1971-03-25","有"
